node  68, random: 0.73, exploitation, C, payoff: 6.0, current q table: [C: 0.60, D: 0.00]
node  69, random: 0.03, exploration , C, payoff: 3.0, current q table: [C: 0.30, D: 0.00]
node  70, random: 0.57, exploitation, C, payoff: 6.0, current q table: [C: 0.60, D: 0.00]
node  71, random: 0.62, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.36]
node  72, random: 0.68, exploitation, C, payoff: 3.0, current q table: [C: 0.30, D: 0.00]
node  73, random: 0.47, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.12]
node  74, random: 0.07, exploration , D, payoff: 2.4, current q table: [C: 0.00, D: 0.24]
node  75, random: 0.16, exploitation, C, payoff: 4.0, current q table: [C: 0.40, D: 0.00]
node  76, random: 0.18, exploitation, C, payoff: 2.0, current q table: [C: 0.20, D: 0.00]
node  77, random: 0.94, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.36]
node  78, random: 0.73, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 0.48]
node  79, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node  80, random: 0.01, exploration , C, payoff: 3.0, current q table: [C: 0.30, D: 0.00]
node  81, random: 0.45, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 0.60]
node  82, random: 0.17, exploitation, C, payoff: 2.0, current q table: [C: 0.20, D: 0.00]
node  83, random: 0.55, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.36]
node  84, random: 0.94, exploitation, C, payoff: 4.0, current q table: [C: 0.40, D: 0.00]
node  85, random: 0.24, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.36]
node  86, random: 0.09, exploration , D, payoff: 4.8, current q table: [C: 0.00, D: 0.48]
node  87, random: 0.05, exploration , C, payoff: 4.0, current q table: [C: 0.40, D: 0.00]
node  88, random: 0.64, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.36]
node  89, random: 0.40, exploitation, C, payoff: 3.0, current q table: [C: 0.30, D: 0.00]
node  90, random: 0.05, exploration , D, payoff: 4.8, current q table: [C: 0.00, D: 0.48]
node  91, random: 0.45, exploitation, C, payoff: 4.0, current q table: [C: 0.40, D: 0.00]
node  92, random: 0.88, exploitation, C, payoff: 3.0, current q table: [C: 0.30, D: 0.00]
node  93, random: 0.18, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 0.60]
node  94, random: 0.19, exploitation, C, payoff: 4.0, current q table: [C: 0.40, D: 0.00]
node  95, random: 0.08, exploration , D, payoff: 4.8, current q table: [C: 0.00, D: 0.48]
node  96, random: 0.79, exploitation, C, payoff: 4.0, current q table: [C: 0.40, D: 0.00]
