node 1, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.05, exploration , C, payoff: 1.0, current q table: [C: 0.10, D: 0.00]
node 5, random: 0.96, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.12]
node 6, random: 0.64, exploitation, C, payoff: 1.0, current q table: [C: 0.10, D: 0.00]


node 1, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.72, exploitation, C, payoff: 1.0, current q table: [C: 0.20, D: 0.00]
node 5, random: 0.28, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.24]
node 6, random: 0.97, exploitation, C, payoff: 1.0, current q table: [C: 0.20, D: 0.00]


node 1, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.67, exploitation, C, payoff: 1.0, current q table: [C: 0.29, D: 0.00]
node 5, random: 0.83, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.35]
node 6, random: 0.98, exploitation, C, payoff: 1.0, current q table: [C: 0.29, D: 0.00]


node 1, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.80, exploitation, C, payoff: 1.0, current q table: [C: 0.38, D: 0.00]
node 5, random: 0.12, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.45]
node 6, random: 0.42, exploitation, C, payoff: 1.0, current q table: [C: 0.38, D: 0.00]


node 1, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.07, exploration , C, payoff: 1.0, current q table: [C: 0.46, D: 0.00]
node 5, random: 0.33, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.55]
node 6, random: 0.02, exploration , C, payoff: 1.0, current q table: [C: 0.46, D: 0.00]


node 1, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.02, exploration , C, payoff: 1.0, current q table: [C: 0.54, D: 0.00]
node 5, random: 0.88, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.65]
node 6, random: 0.98, exploitation, C, payoff: 1.0, current q table: [C: 0.54, D: 0.00]


node 1, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.20, exploitation, C, payoff: 1.0, current q table: [C: 0.62, D: 0.00]
node 5, random: 0.83, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.75]
node 6, random: 0.86, exploitation, C, payoff: 1.0, current q table: [C: 0.62, D: 0.00]


node 1, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.39, exploitation, C, payoff: 1.0, current q table: [C: 0.70, D: 0.00]
node 5, random: 0.95, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.84]
node 6, random: 0.89, exploitation, C, payoff: 1.0, current q table: [C: 0.70, D: 0.00]


node 1, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.77, exploitation, C, payoff: 1.0, current q table: [C: 0.77, D: 0.00]
node 5, random: 0.75, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.92]
node 6, random: 0.52, exploitation, C, payoff: 1.0, current q table: [C: 0.77, D: 0.00]


node 1, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.49, exploitation, C, payoff: 1.0, current q table: [C: 0.84, D: 0.00]
node 5, random: 0.03, exploration , C, payoff: 1.0, current q table: [C: 0.16, D: 0.92]
node 6, random: 0.74, exploitation, C, payoff: 1.0, current q table: [C: 0.84, D: 0.00]


