node 1, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.00, exploration , C, payoff: 1.0, current q table: [C: 0.10, D: 0.00]
node 5, random: 0.57, exploitation, C, payoff: 1.0, current q table: [C: 0.10, D: 0.00]
node 6, random: 0.93, exploitation, C, payoff: 1.0, current q table: [C: 0.10, D: 0.00]


node 1, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.20, exploitation, C, payoff: 1.0, current q table: [C: 0.20, D: 0.00]
node 5, random: 0.68, exploitation, C, payoff: 1.0, current q table: [C: 0.20, D: 0.00]
node 6, random: 0.85, exploitation, C, payoff: 1.0, current q table: [C: 0.20, D: 0.00]


node 1, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.73, exploitation, C, payoff: 1.0, current q table: [C: 0.29, D: 0.00]
node 5, random: 0.41, exploitation, C, payoff: 1.0, current q table: [C: 0.29, D: 0.00]
node 6, random: 0.29, exploitation, C, payoff: 1.0, current q table: [C: 0.29, D: 0.00]


node 1, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.28, exploitation, C, payoff: 1.0, current q table: [C: 0.38, D: 0.00]
node 5, random: 0.06, exploration , C, payoff: 1.0, current q table: [C: 0.38, D: 0.00]
node 6, random: 0.10, exploration , C, payoff: 1.0, current q table: [C: 0.38, D: 0.00]


node 1, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node 2, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 3, random: 0.00, None        , C, payoff: 1.0, current q table: [C: 0.00, D: 0.00]
node 4, random: 0.15, exploitation, C, payoff: 1.0, current q table: [C: 0.46, D: 0.00]
